,old_PUC,Category,Product,Refined,description,type,fHands,fBody,sum_f,fRinseH,fwipeH,sum_H,fRinseB,fWipeB,Sum_B,fRinseS,fWipeS,Sum_S,AllHands,new_PUC
115,P.IH.140.029,inside the home,electronics cleaner,spray,miscellaneous products for cleaning home electronic equipment (including surface cleaners or cleaners for interior parts)  (spray or aerosol formulation spec,SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,EL.0400.010.050.F
116,P.IH.140.999,inside the home,electronics cleaner,NOC,miscellaneous products for cleaning home electronic equipment (including surface cleaners or cleaners for interior parts),LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,EL.0400.010.099.F
117,P.IH.150.000,inside the home,fabric deodorizer,,spray fabric deodorizers,SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.030.099.F
118,P.IH.160.000,inside the home,fabric protectant,,fabric protectants and wrinkle releasers,SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.040.099.F
119,P.IH.170.000,inside the home,fabric softener,,fabric softeners (excluding dryer sheets),LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.050.099.F
120,P.IH.180.000,inside the home,fireplace,,miscellaneous fireplace and firepit products,XXX,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,CP.0600.010.099.F
121,P.IH.190.000,inside the home,floor cleaner,,hard floor cleaners (including  premoistened wipes and pads),LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.97,0,0.97,NA,CP.0300.030.099.F
122,P.IH.200.000,inside the home,floor polish,,hard floor shining and waxing products,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.4,0.4,NA,CP.0300.040.099.F
123,P.IH.210.029,inside the home,glass cleaner,spray,glass and window cleaners (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,CP.0700.030.050.F
124,P.IH.210.999,inside the home,glass cleaner,NOC,glass and window cleaners,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,CP.0700.030.099.F
125,P.IH.220.000,inside the home,hand cleaner,,products marketed as hand cleaners (solvent-based),LBS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,1,CP.0800.010.099.F
126,P.IH.230.029,inside the home,heavy duty cleaner,spray,heavy duty or concentrated multipurpose cleaners (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0900.010.050.F
127,P.IH.230.999,inside the home,heavy duty cleaner,NOC,heavy duty or concentrated multipurpose cleaners,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0900.010.099.F
128,P.IH.240.029,inside the home,houseplant care,spray,"houseplant and cut flower foods, fertilizers, or pesticides (spray or aerosol formulation specified)",SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,CP.1000.010.050.F
129,P.IH.240.999,inside the home,houseplant care,NOC,"houseplant and cut flower foods, fertilizers, or pesticides",SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,CP.1000.010.099.F
130,P.IH.250.000,inside the home,lamp oil/lighter fluid,,"lighters, lighter fluids, and other indoor fuels",LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,CP.1100.010.099.F
131,P.IH.260.013,inside the home,laundry detergent,liquid,laundry detergents and soaps (liquid formulation specified),LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.060.052.F
132,P.IH.260.023,inside the home,laundry detergent,powder,laundry detergents and soaps (powder formulation specified),DAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.060.053.F
133,P.IH.260.999,inside the home,laundry detergent,NOC,laundry detergents and soaps,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.060.099.F
134,P.IH.270.000,inside the home,laundry fragrance,,scent products to be added to wash,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.070.099.F
135,P.IH.280.029,inside the home,laundry stain remover,spray,stain removers or laundry pre-treatment products (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.080.050.F
136,P.IH.280.999,inside the home,laundry stain remover,NOC,stain removers or laundry pre-treatment products,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.080.099.F
137,P.IH.290.029,inside the home,laundry starch,spray,fabric starches (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.090.050.F
138,P.IH.290.999,inside the home,laundry starch,NOC,fabric starches,SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.090.099.F
139,P.IH.300.000,inside the home,lime remover,,products for removing lime or scale from surfaces,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1300.010.099.F
140,P.IH.310.000,inside the home,metal polish,,cleaning products for metal surfaces,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,CP.1400.010.099.F
141,P.IH.320.029,inside the home,oven cleaner,spray,oven and grill cleaners (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,CP.1500.010.050.F
142,P.IH.320.999,inside the home,oven cleaner,NOC,oven and grill cleaners,SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,CP.1500.010.099.F
143,P.IH.330.000,inside the home,shoe polish or protectant,,"shoe polishes, cleaners, and protectants",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,CP.1600.010.099.F
144,P.IH.340.029,inside the home,surface cleaner,spray,hard surface and kitchen surface cleaners (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.48,0.48,0.96,NA,CP.0700.040.050.F
