,old_PUC,Category,Product,Refined,description,type,fHands,fBody,sum_f,fRinseH,fwipeH,sum_H,fRinseB,fWipeB,Sum_B,fRinseS,fWipeS,Sum_S,AllHands,new_PUC
1,P.AC.010.029,arts and crafts,arts and crafts adhesive,spray,"spray adhesives for primarily craft purposes, including spray mounts and stencil placement sprays",SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,AC.0500.010.050.F
2,P.AC.010.999,arts and crafts,arts and crafts adhesive,NOC,"glue sticks, glitter glues, fabric glues, craft glue, and other adhesives used for primarily craft purposes",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,AC.0500.010.099.F
3,P.AC.020.000,arts and crafts,arts and crafts cleaner,,"solvent-based products for cleaning paint, adhesives, etc. from hands or surfaces",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,NA,AC.0500.020.099.F
4,P.AC.030.029,arts and crafts,arts and crafts finish,spray,spray shellacs or polyurethane coatings for primarily craft purposes,SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,AC.0500.030.050.F
5,P.AC.030.999,arts and crafts,arts and crafts finish,NOC,shellacs or polyurethane coatings for primarily craft purposes,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,AC.0500.030.099.F
6,P.AC.040.000,arts and crafts,arts and crafts paint,,paints and colorants for primarily craft purposes (including acrylic and enamel paints),LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,NA,AC.0500.040.099.F
7,P.AC.050.029,arts and crafts,body paint,spray,"body paints, markers, glitters, play cosmetics, and halloween cosmetics (spray or aerosol formulation specified)",LBS,0.2,0.8,1,0.99,0,0.99,0,0,0,0,0,0,NA,AC.0100.010.050.F
8,P.AC.050.999,arts and crafts,body paint,NOC,"body paints, markers, glitters, play cosmetics, and halloween cosmetics",LBS,0.2,0.8,1,0.99,0,0.99,0,0,0,0,0,0,NA,AC.0100.010.099.F
9,P.AC.060.000,arts and crafts,bubble solution,,"liquid bubble solutions, including solutions for bubble machines",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,AC.0200.010.099.F
10,P.AC.070.000,arts and crafts,craft kit,,multi-component crafting kits where individual products are not designated,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,AC.0500.050.099.F
11,P.AC.080.000,arts and crafts,crayons,,wax crayons for coloring or illustration,SOL,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,AC.0200.020.099.F
12,P.AC.090.000,arts and crafts,dye,,products for dying fabrics,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,AC.0300.010.099.F
13,P.AC.100.029,arts and crafts,fabric paints and sealers,spray,paints or sealers for treating fabrics (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,AC.0300.020.050.F
